Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,7.35651,7.35651,7.35651,7.35651,000,7.35651
2014-01-23,7.40522,7.40522,7.40522,7.40522,000,7.40522
2014-01-22,7.38602,7.38602,7.38602,7.38602,000,7.38602
2014-01-21,7.39744,7.39744,7.39744,7.39744,000,7.39744
2014-01-20,7.39035,7.39035,7.39035,7.39035,000,7.39035
2014-01-17,7.41767,7.41767,7.41767,7.41767,000,7.41767
2014-01-16,7.45211,7.45211,7.45211,7.45211,000,7.45211
2014-01-15,7.45036,7.45036,7.45036,7.45036,000,7.45036
2014-01-14,7.41859,7.41859,7.41859,7.41859,000,7.41859
2014-01-13,7.46548,7.46548,7.46548,7.46548,000,7.46548
2014-01-10,7.3554,7.3554,7.3554,7.3554,000,7.3554
2014-01-09,7.3334,7.3334,7.3334,7.3334,000,7.3334
2014-01-07,7.29151,7.29151,7.29151,7.29151,000,7.29151
2014-01-06,7.35372,7.35372,7.35372,7.35372,000,7.35372
2014-01-03,7.39173,7.39173,7.39173,7.39173,000,7.39173
2014-01-02,7.42831,7.42831,7.42831,7.42831,000,7.42831
2013-12-31,7.44551,7.44551,7.44551,7.44551,000,7.44551
2013-12-30,7.4078,7.4078,7.4078,7.4078,000,7.4078
2013-12-27,7.37454,7.37454,7.37454,7.37454,000,7.37454
2013-12-26,7.39546,7.39546,7.39546,7.39546,000,7.39546
2013-12-24,7.39679,7.39679,7.39679,7.39679,000,7.39679
2013-12-23,7.3519,7.3519,7.3519,7.3519,000,7.3519
2013-12-20,7.34247,7.34247,7.34247,7.34247,000,7.34247
2013-12-19,7.30733,7.30733,7.30733,7.30733,000,7.30733
2013-12-18,7.27454,7.27454,7.27454,7.27454,000,7.27454
2013-12-17,7.28659,7.28659,7.28659,7.28659,000,7.28659
